basin,cnty_abbr,name,prelim_yn,county_name,site,state,latitude,longitude,aqs_id,qa_id,district,met_id,elevation,address,city,zip_code,no22021obs 
SC,LA,Azusa,N,Los Angeles,2484,CA,34.136479999999999,-117.92392,060370002,70060,SC,AZU01,189,803 North Loren Avenue,Azusa,91702,8575 
SC,LA,Compton-700 North Bullis Road,N,Los Angeles,3743,CA,33.901445000000002,-118.204989,060371302,70112,SC,,22,700 North Bullis Road,Compton,90221,8660 
SC,LA,Glendora-Laurel,N,Los Angeles,2849,CA,34.144370000000002,-117.85038,060370016,70591,SC,GLD03,279,840 Laurel,Glendora,91741,8472 
SC,LA,Long Beach-Route 710 Near Road,N,Los Angeles,3818,CA,33.859662,-118.20070699999999,060374008,70032,SC ,,12,5895 Long Beach Blvd,Long Beach,90806,8407 
SC,LA,Long Beach-Signal Hill,N,Los Angeles,3843,CA,33.793713000872501,-118.171019,060374009,70033,SC ,,8,1710 E 20th St. Signal Hill,Signal Hill,90755,8627 
SC,LA,Los Angeles-North Main Street,N,Los Angeles,2899,CA,34.06653,-118.22676,060371103,70087,SC,LAX06,92,1630 North Main Street,Los Angeles,90012,8674 
SC,LA,Los Angeles-Westchester Parkway,N,Los Angeles,3683,CA,33.955069999999999,-118.43049000000001,060375005,70111,SC,,37,7201 W Westchester Parkway,Los Angeles,90045,6119 
SC,LA,North Hollywood,N,Los Angeles,3844,CA,34.181977000000003,-118.36303599999999,060374010,70034,SC ,,200,10659 W Delano St,Los Angeles,91606,8610 
SC,LA,Pasadena-S Wilson Avenue,N,Los Angeles,2160,CA,34.132649999999998,-118.12714,060372005,70088,SC,PAS04,227,752 South Wilson Avenue,Pasadena,91702,8697 
SC,LA,Pico Rivera-4144 San Gabriel,N,Los Angeles,3693,CA,34.010289999999998,-118.0685,060371602,70185,SC,,58,4144 San Gabriel River Parkway,Pico Rivera,90660,8641 
SC,LA,Pomona,N,Los Angeles,2898,CA,34.066980000000001,-117.75138,060371701,70075,SC,POM01,273,924 North Garey Avenue,Pomona,91767,8670 
SC,LA,Reseda,N,Los Angeles,2420,CA,34.199199999999998,-118.53274999999999,060371201,70074,SC,RES01,225,18330 Gault Street,Los Angeles,91335,8678 
SC,LA,Santa Clarita,N,Los Angeles,3502,CA,34.383369999999999,-118.52839,060376012,70090,SC,SLI01,388,22224 Placerita Canyon Road,Santa Clarita,91321,8695 
SC,LA,West Los Angeles-VA Hospital,N,Los Angeles,2494,CA,34.051090000000002,-118.4564,060370113,70091,SC,WSL03,92,VA Hospital,Los Angeles,90025,8620